DATASET_TEXT
SEPARATOR COMMA
DATASET_LABEL,phylum name
COLOR,#ff0000

#the following fields are possible for each node:
#ID,label,position,color,style,size_factor,rotation

#position defines the position of the text label on the tree:
#  -1 = external label
#  a number between 0 and 1 = internal label positioned at the specified value along the node branch (for example, position 0 is exactly at the start of node branch, position 0.5 is in the middle, and position 1 is at the end)
#style can be 'normal',''bold','italic' or 'bold-italic'
#size factor will be multiplied with the standard font size

DATA
#NCBI.ID.x,Phylum,outside,Color,font,size
NC_000913,Proteobacteria,-1,#7FC97F,normal,1
NC_000913,Proteobacteria,-1,#7FC97F,normal,1
NC_000913,Proteobacteria,-1,#7FC97F,normal,1
NC_000963,Proteobacteria,-1,#7FC97F,normal,1
NC_000964,Firmicutes,-1,#E6AB02,normal,1
NC_000964,Firmicutes,-1,#E6AB02,normal,1
NC_000964,Firmicutes,-1,#E6AB02,normal,1
NC_000964,Firmicutes,-1,#E6AB02,normal,1
NC_001263,Deinococcus-Thermus,-1,#E31A1C,normal,1
NC_001263,Deinococcus-Thermus,-1,#E31A1C,normal,1
NC_001263,Deinococcus-Thermus,-1,#E31A1C,normal,1
NC_001263,Deinococcus-Thermus,-1,#E31A1C,normal,1
NC_002488,Proteobacteria,-1,#7FC97F,normal,1
NC_002488,Proteobacteria,-1,#7FC97F,normal,1
NC_002488,Proteobacteria,-1,#7FC97F,normal,1
NC_002516,Proteobacteria,-1,#7FC97F,normal,1
NC_002516,Proteobacteria,-1,#7FC97F,normal,1
NC_002570,Firmicutes,-1,#E6AB02,normal,1
NC_002570,Firmicutes,-1,#E6AB02,normal,1
NC_002678,Proteobacteria,-1,#7FC97F,normal,1
NC_002678,Proteobacteria,-1,#7FC97F,normal,1
NC_002678,Proteobacteria,-1,#7FC97F,normal,1
NC_002927,Proteobacteria,-1,#7FC97F,normal,1
NC_002927,Proteobacteria,-1,#7FC97F,normal,1
NC_002927,Proteobacteria,-1,#7FC97F,normal,1
NC_002936,Chloroflexi,-1,#999999,normal,1
NC_002936,Chloroflexi,-1,#999999,normal,1
NC_002937,Proteobacteria,-1,#7FC97F,normal,1
NC_002937,Proteobacteria,-1,#7FC97F,normal,1
NC_002939,Proteobacteria,-1,#7FC97F,normal,1
NC_002939,Proteobacteria,-1,#7FC97F,normal,1
NC_002944,Actinobacteria,-1,#F4CAE4,normal,1
NC_002944,Actinobacteria,-1,#F4CAE4,normal,1
NC_002971,Proteobacteria,-1,#7FC97F,normal,1
NC_002971,Proteobacteria,-1,#7FC97F,normal,1
NC_002973,Firmicutes,-1,#E6AB02,normal,1
NC_003030,Firmicutes,-1,#E6AB02,normal,1
NC_003030,Firmicutes,-1,#E6AB02,normal,1
NC_003062,Proteobacteria,-1,#7FC97F,normal,1
NC_003062,Proteobacteria,-1,#7FC97F,normal,1
NC_003062,Proteobacteria,-1,#7FC97F,normal,1
NC_003062,Proteobacteria,-1,#7FC97F,normal,1
NC_003062,Proteobacteria,-1,#7FC97F,normal,1
NC_003063,Proteobacteria,-1,#7FC97F,normal,1
NC_003063,Proteobacteria,-1,#7FC97F,normal,1
NC_003063,Proteobacteria,-1,#7FC97F,normal,1
NC_003063,Proteobacteria,-1,#7FC97F,normal,1
NC_003063,Proteobacteria,-1,#7FC97F,normal,1
NC_003155,Actinobacteria,-1,#F4CAE4,normal,1
NC_003155,Actinobacteria,-1,#F4CAE4,normal,1
NC_003197,Proteobacteria,-1,#7FC97F,normal,1
NC_003197,Proteobacteria,-1,#7FC97F,normal,1
NC_003212,Firmicutes,-1,#E6AB02,normal,1
NC_003212,Firmicutes,-1,#E6AB02,normal,1
NC_003212,Firmicutes,-1,#E6AB02,normal,1
NC_003212,Firmicutes,-1,#E6AB02,normal,1
NC_003272,Cyanobacteria,-1,#B3CDE3,normal,1
NC_003272,Cyanobacteria,-1,#B3CDE3,normal,1
NC_003272,Cyanobacteria,-1,#B3CDE3,normal,1
NC_003272,Cyanobacteria,-1,#B3CDE3,normal,1
NC_003272,Cyanobacteria,-1,#B3CDE3,normal,1
NC_003272,Cyanobacteria,-1,#B3CDE3,normal,1
NC_003272,Cyanobacteria,-1,#B3CDE3,normal,1
NC_003295,Proteobacteria,-1,#7FC97F,normal,1
NC_003295,Proteobacteria,-1,#7FC97F,normal,1
NC_003361,Chlamydiae,-1,#B15928,normal,1
NC_003361,Chlamydiae,-1,#B15928,normal,1
NC_003366,Firmicutes,-1,#E6AB02,normal,1
NC_003366,Firmicutes,-1,#E6AB02,normal,1
NC_003902,Proteobacteria,-1,#7FC97F,normal,1
NC_003909,Firmicutes,-1,#E6AB02,normal,1
NC_003909,Firmicutes,-1,#E6AB02,normal,1
NC_003909,Firmicutes,-1,#E6AB02,normal,1
NC_003909,Firmicutes,-1,#E6AB02,normal,1
NC_003909,Firmicutes,-1,#E6AB02,normal,1
NC_003997,Firmicutes,-1,#E6AB02,normal,1
NC_003997,Firmicutes,-1,#E6AB02,normal,1
NC_003997,Firmicutes,-1,#E6AB02,normal,1
NC_004129,Proteobacteria,-1,#7FC97F,normal,1
NC_004129,Proteobacteria,-1,#7FC97F,normal,1
NC_004129,Proteobacteria,-1,#7FC97F,normal,1
NC_004193,Firmicutes,-1,#E6AB02,normal,1
NC_004193,Firmicutes,-1,#E6AB02,normal,1
NC_004193,Firmicutes,-1,#E6AB02,normal,1
NC_004342,Spirochaetes,-1,#F0027F,normal,1
NC_004342,Spirochaetes,-1,#F0027F,normal,1
NC_004347,Proteobacteria,-1,#7FC97F,normal,1
NC_004347,Proteobacteria,-1,#7FC97F,normal,1
NC_004347,Proteobacteria,-1,#7FC97F,normal,1
NC_004369,Actinobacteria,-1,#F4CAE4,normal,1
NC_004369,Actinobacteria,-1,#F4CAE4,normal,1
NC_004369,Actinobacteria,-1,#F4CAE4,normal,1
NC_004369,Actinobacteria,-1,#F4CAE4,normal,1
NC_004463,Proteobacteria,-1,#7FC97F,normal,1
NC_004463,Proteobacteria,-1,#7FC97F,normal,1
NC_004463,Proteobacteria,-1,#7FC97F,normal,1
NC_004547,Proteobacteria,-1,#7FC97F,normal,1
NC_004547,Proteobacteria,-1,#7FC97F,normal,1
NC_004547,Proteobacteria,-1,#7FC97F,normal,1
NC_004551,Actinobacteria,-1,#F4CAE4,normal,1
NC_004556,Proteobacteria,-1,#7FC97F,normal,1
NC_004556,Proteobacteria,-1,#7FC97F,normal,1
NC_004557,Firmicutes,-1,#E6AB02,normal,1
NC_004557,Firmicutes,-1,#E6AB02,normal,1
NC_004572,Actinobacteria,-1,#F4CAE4,normal,1
NC_004631,Proteobacteria,-1,#7FC97F,normal,1
NC_004663,Bacteroidetes,-1,black,normal,1
NC_004663,Bacteroidetes,-1,black,normal,1
NC_004663,Bacteroidetes,-1,black,normal,1
NC_004663,Bacteroidetes,-1,black,normal,1
NC_004722,Firmicutes,-1,#E6AB02,normal,1
NC_004722,Firmicutes,-1,#E6AB02,normal,1
NC_004722,Firmicutes,-1,#E6AB02,normal,1
NC_004722,Firmicutes,-1,#E6AB02,normal,1
NC_004757,Proteobacteria,-1,#7FC97F,normal,1
NC_005085,Proteobacteria,-1,#7FC97F,normal,1
NC_005085,Proteobacteria,-1,#7FC97F,normal,1
NC_005125,Cyanobacteria,-1,#B3CDE3,normal,1
NC_005296,Proteobacteria,-1,#7FC97F,normal,1
NC_005296,Proteobacteria,-1,#7FC97F,normal,1
NC_005296,Proteobacteria,-1,#7FC97F,normal,1
NC_005296,Proteobacteria,-1,#7FC97F,normal,1
NC_005296,Proteobacteria,-1,#7FC97F,normal,1
NC_005296,Proteobacteria,-1,#7FC97F,normal,1
NC_005363,Proteobacteria,-1,#7FC97F,normal,1
NC_005773,Proteobacteria,-1,#7FC97F,normal,1
NC_005773,Proteobacteria,-1,#7FC97F,normal,1
NC_005773,Proteobacteria,-1,#7FC97F,normal,1
NC_005773,Proteobacteria,-1,#7FC97F,normal,1
NC_005823,Spirochaetes,-1,#F0027F,normal,1
NC_005823,Spirochaetes,-1,#F0027F,normal,1
NC_005861,Chlamydiae,-1,#B15928,normal,1
NC_005945,Firmicutes,-1,#E6AB02,normal,1
NC_005945,Firmicutes,-1,#E6AB02,normal,1
NC_005945,Firmicutes,-1,#E6AB02,normal,1
NC_005966,Proteobacteria,-1,#7FC97F,normal,1
NC_006155,Proteobacteria,-1,#7FC97F,normal,1
NC_006155,Proteobacteria,-1,#7FC97F,normal,1
NC_006155,Proteobacteria,-1,#7FC97F,normal,1
NC_006155,Proteobacteria,-1,#7FC97F,normal,1
NC_006177,Firmicutes,-1,#E6AB02,normal,1
NC_006177,Firmicutes,-1,#E6AB02,normal,1
NC_006274,Firmicutes,-1,#E6AB02,normal,1
NC_006274,Firmicutes,-1,#E6AB02,normal,1
NC_006274,Firmicutes,-1,#E6AB02,normal,1
NC_006274,Firmicutes,-1,#E6AB02,normal,1
NC_006274,Firmicutes,-1,#E6AB02,normal,1
NC_006274,Firmicutes,-1,#E6AB02,normal,1
NC_006274,Firmicutes,-1,#E6AB02,normal,1
NC_006274,Firmicutes,-1,#E6AB02,normal,1
NC_006322,Firmicutes,-1,#E6AB02,normal,1
NC_006322,Firmicutes,-1,#E6AB02,normal,1
NC_006350,Proteobacteria,-1,#7FC97F,normal,1
NC_006350,Proteobacteria,-1,#7FC97F,normal,1
