Sample	arsB	aioA	arrA	acr3	arxA	arsC_glut	arsC_thio	arsD	arsM
Iowa_corn22.3	0	0	0	0	0	10	0	0	1
Iowa_corn23.3	0	0	0	0	0	13	0	0	5
Iowa_agricultural00.3	0	2	0	0	0	14	0	1	14
Iowa_agricultural01.3	0	0	0	0	0	3	0	0	0
Mangrove02.3	0	0	21	0	11	144	110	3	34
Mangrove70.3	0	0	29	0	24	158	107	4	55
Permafrost_Russia12.3	0	0	0	0	0	0	0	0	0
Permafrost_Russia13.3	0	2	1	0	2	49	4	1	19
Iowa_prairie72.3	0	1	0	0	0	15	0	0	16
Iowa_prairie75.3	0	3	0	0	0	13	0	0	17
Iowa_prairie76.3	0	0	0	0	0	13	1	0	19
Brazilian_forest95.3	0	0	0	0	0	21	0	0	2
Brazilian_forest39.3	0	0	0	0	0	13	4	0	7
Brazilian_forest54.3	0	1	0	0	0	16	3	0	5
Illinois_soybean42.3	0	0	0	0	0	3	0	0	2
Illinois_soybean40.3	0	0	0	0	0	3	0	0	0
Minnesota_creek46.3	0	0	0	0	0	14	0	0	3
Minnesota_creek45.3	0	0	0	0	0	19	1	0	3
Disney_preserve18.3	0	0	0	0	0	62	1	1	38
Disney_preserve25.3	0	0	0	0	0	36	2	0	7
California_grassland15.3	1	0	0	0	0	17	1	0
California_grassland62.3	1	0	0	0	0	3	0	0
Illinois_soil91.3	0	1	0	0	0	37	5	3	3
Illinois_soil88.3	0	1	0	0	0	37	5	3	3
Wyoming_soil20.3	0	0	0	0	0	0	0	0	0
Wyoming_soil22.3	0	0	0	0	0	27	0	0	34
Permafrost_Canada23.3	1	0	0	0	0	15	2	5	22
Permafrost_Canada45.3	0	1	0	0	0	7	1	6	26
