"db" "query" "genus" "class" "phylum" "Organism"
"ncbi" "Alphaproteobacteria bacterium 62-8" NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 62-8"
"ncbi" "Achromobacter denitrificans" "Achromobacter" "Betaproteobacteria" "Proteobacteria" "Achromobacter denitrificans"
"ncbi" "Sphingobium chlorophenolicum" "Sphingobium" "Alphaproteobacteria" "Proteobacteria" "Sphingobium chlorophenolicum"
"ncbi" "Burkholderia sp. LMG 29314" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. LMG 29314"
"ncbi" "Cupriavidus sp. UYMMa02A" "Cupriavidus" "Betaproteobacteria" "Proteobacteria" "Cupriavidus sp. UYMMa02A"
"ncbi" "Microvirga guangxiensis" "Microvirga" "Alphaproteobacteria" "Proteobacteria" "Microvirga guangxiensis"
"ncbi" "Turneriella parva DSM 21527" "Turneriella" "Spirochaetia" "Spirochaetes" "Turneriella parva DSM 21527"
"ncbi" "Bradyrhizobium sp. cf659" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. cf659"
"ncbi" "Bradyrhizobium sp. Gha" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. Gha"
"ncbi" "Comamonas testosteroni ATCC 11996" "Comamonas" "Betaproteobacteria" "Proteobacteria" "Comamonas testosteroni ATCC 11996"
"ncbi" "Methylocella silvestris BL2" "Methylocella" "Alphaproteobacteria" "Proteobacteria" "Methylocella silvestris BL2"
"ncbi" "Bradyrhizobium valentinum" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium valentinum"
"ncbi" "Hyphomicrobium sp. MC1" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria" "Hyphomicrobium sp. MC1"
"ncbi" "Methylocapsa palsarum" "Methylocapsa" "Alphaproteobacteria" "Proteobacteria" "Methylocapsa palsarum"
"ncbi" "Hydrogenibacillus schlegelii" "Hydrogenibacillus" "Bacilli" "Firmicutes" "Hydrogenibacillus schlegelii"
"ncbi" "Bacillus sp. MRMR6" "Bacillus" "Bacilli" "Firmicutes" "Bacillus sp. MRMR6"
"ncbi" "Bacillus cereus VD131" "Bacillus" "Bacilli" "Firmicutes" "Bacillus cereus VD131"
"ncbi" "Paenibacillus barengoltzii G22" "Paenibacillus" "Bacilli" "Firmicutes" "Paenibacillus barengoltzii G22"
"ncbi" "Magnetospirillum magnetotacticum MS-1" "Magnetospirillum" "Alphaproteobacteria" "Proteobacteria" "Magnetospirillum magnetotacticum MS-1"
"ncbi" "Candidatus Nitrososphaera gargensis Ga9.2" "Nitrososphaera" "Nitrososphaeria" "Thaumarchaeota" "Candidatus Nitrososphaera gargensis Ga9.2"
"ncbi" "Acidobacteria bacterium 13_2_20CM_58_27" NA NA "Acidobacteria" "Acidobacteria bacterium 13_2_20CM_58_27"
"ncbi" "Candidatus Nitrosotalea devanaterra" "Candidatus Nitrosotalea" NA "Thaumarchaeota" "Candidatus Nitrosotalea devanaterra"
"ncbi" "Verrucomicrobia bacterium 13_1_20CM_3_54_17" NA NA "Verrucomicrobia" "Verrucomicrobia bacterium 13_1_20CM_3_54_17"
"ncbi" "Phenylobacterium sp. Root700" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium sp. Root700"
"ncbi" "Pseudoxanthomonas sp. CF125" "Pseudoxanthomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudoxanthomonas sp. CF125"
"ncbi" "Skermanella stibiiresistens SB22" "Skermanella" "Alphaproteobacteria" "Proteobacteria" "Skermanella stibiiresistens SB22"
"ncbi" "Hyphomicrobium denitrificans ATCC 51888" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria" "Hyphomicrobium denitrificans ATCC 51888"
"ncbi" "Mesorhizobium loti" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium loti"
"ncbi" "Sphingomonas sp. Leaf30" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. Leaf30"
"ncbi" "Escherichia coli str. K-12 substr. MG1655" "Escherichia" "Gammaproteobacteria" "Proteobacteria" "Escherichia coli str. K-12 substr. MG1655"
"ncbi" "Mycobacterium gilvum PYR-GCK" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium gilvum PYR-GCK"
"ncbi" "uncultured bacterium" NA NA NA "uncultured bacterium"
"ncbi" "Burkholderia xenovorans LB400" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia xenovorans LB400"
"ncbi" "Geobacillus sp. JS12" "Geobacillus" "Bacilli" "Firmicutes" "Geobacillus sp. JS12"
"ncbi" "Bacillus sp. SA1-12" "Bacillus" "Bacilli" "Firmicutes" "Bacillus sp. SA1-12"
"ncbi" "Criblamydia sequanensis CRIB-18" "Criblamydia" "Chlamydiia" "Chlamydiae" "Criblamydia sequanensis CRIB-18"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_3_64_12" NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_3_64_12"
"ncbi" "Achromobacter xylosoxidans" "Achromobacter" "Betaproteobacteria" "Proteobacteria" "Achromobacter xylosoxidans"
"ncbi" "Microvirga vignae" "Microvirga" "Alphaproteobacteria" "Proteobacteria" "Microvirga vignae"
"ncbi" "Comamonas testosteroni KF-1" "Comamonas" "Betaproteobacteria" "Proteobacteria" "Comamonas testosteroni KF-1"
"ncbi" "Comamonas testosteroni" "Comamonas" "Betaproteobacteria" "Proteobacteria" "Comamonas testosteroni"
"ncbi" "Mycobacterium sp. SP-6446" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium sp. SP-6446"
"ncbi" "Agrobacterium tumefaciens" "Agrobacterium" "Alphaproteobacteria" "Proteobacteria" "Agrobacterium tumefaciens"
"ncbi" "Methylobacterium sp. Leaf106" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria" "Methylobacterium sp. Leaf106"
"ncbi" "Albimonas pacifica" "Albimonas" "Alphaproteobacteria" "Proteobacteria" "Albimonas pacifica"
"ncbi" "Sphingobium sp. YBL2" "Sphingobium" "Alphaproteobacteria" "Proteobacteria" "Sphingobium sp. YBL2"
"ncbi" "Azospirillum lipoferum 4B" "Azospirillum" "Alphaproteobacteria" "Proteobacteria" "Azospirillum lipoferum 4B"
"ncbi" "Betaproteobacteria bacterium RIFCSPLOWO2_02_64_14" NA "Betaproteobacteria" "Proteobacteria" "Betaproteobacteria bacterium RIFCSPLOWO2_02_64_14"
"ncbi" "Betaproteobacteria bacterium RBG_16_64_18" NA "Betaproteobacteria" "Proteobacteria" "Betaproteobacteria bacterium RBG_16_64_18"
"ncbi" "Actinoplanes sp. N902-109" "Actinoplanes" "Actinobacteria" "Actinobacteria" "Actinoplanes sp. N902-109"
"ncbi" "Verrucosispora maris AB-18-032" "Verrucosispora" "Actinobacteria" "Actinobacteria" "Verrucosispora maris AB-18-032"
"ncbi" "Rhizobium sp. Leaf321" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium sp. Leaf321"
"ncbi" "Stemphylium lycopersici" "Stemphylium" "Dothideomycetes" "Ascomycota" "Stemphylium lycopersici"
"ncbi" "Methylobacterium pseudosasicola" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria" "Methylobacterium pseudosasicola"
"ncbi" "Sphingomonas sp. RIT328" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. RIT328"
"ncbi" "Aurantimonas manganoxydans SI85-9A1" "Aurantimonas" "Alphaproteobacteria" "Proteobacteria" "Aurantimonas manganoxydans SI85-9A1"
"ncbi" "Achromobacter sp. LC458" "Achromobacter" "Betaproteobacteria" "Proteobacteria" "Achromobacter sp. LC458"
"ncbi" "Sphingomonas sanxanigenens DSM 19645 = NX02" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sanxanigenens DSM 19645 = NX02"
"ncbi" "Methylobacterium sp. Leaf111" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria" "Methylobacterium sp. Leaf111"
"ncbi" "Sphingomonas sp. Leaf34" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. Leaf34"
"ncbi" "Rhizobium sp. NFR03" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium sp. NFR03"
"ncbi" "Rhizobium lusitanum" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium lusitanum"
"ncbi" "Rhizobium sp. 9140" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium sp. 9140"
"ncbi" "Comamonas testosteroni TK102" "Comamonas" "Betaproteobacteria" "Proteobacteria" "Comamonas testosteroni TK102"
"ncbi" "Sphingomonas sp. Leaf226" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. Leaf226"
"ncbi" "Rhizobium grahamii CCGE 502" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium grahamii CCGE 502"
"ncbi" "Methylobacterium brachiatum" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria" "Methylobacterium brachiatum"
"ncbi" "Rhizobium sp. Leaf306" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium sp. Leaf306"
"ncbi" "Sphingomonas rubra" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas rubra"
"ncbi" "Aureimonas sp. Leaf454" "Aureimonas" "Alphaproteobacteria" "Proteobacteria" "Aureimonas sp. Leaf454"
"ncbi" "Methylobacterium sp. Leaf123" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria" "Methylobacterium sp. Leaf123"
"ncbi" "Staphylococcus cohnii" "Staphylococcus" "Bacilli" "Firmicutes" "Staphylococcus cohnii"
"ncbi" "Sphingopyxis macrogoltabida" "Sphingopyxis" "Alphaproteobacteria" "Proteobacteria" "Sphingopyxis macrogoltabida"
"ncbi" "Burkholderia cepacia GG4" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia cepacia GG4"
"ncbi" "Sphingomonas sp. Leaf25" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. Leaf25"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Sorangium cellulosum" "Sorangium" "Deltaproteobacteria" "Proteobacteria" "Sorangium cellulosum"
"ncbi" "Geobacillus thermoglucosidasius C56-YS93" "Parageobacillus" "Bacilli" "Firmicutes" "Geobacillus thermoglucosidasius C56-YS93"
"ncbi" "Burkholderia sp. SRS-W-2-2016" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. SRS-W-2-2016"
"ncbi" "Bdellovibrionales bacterium RIFOXYB1_FULL_39_21" NA "Deltaproteobacteria" "Proteobacteria" "Bdellovibrionales bacterium RIFOXYB1_FULL_39_21"
"ncbi" "Deltaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_43_49" NA "Deltaproteobacteria" "Proteobacteria" "Deltaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_43_49"
"ncbi" "Anaerolineae bacterium CG2_30_57_67" NA "Anaerolineae" "Chloroflexi" "Anaerolineae bacterium CG2_30_57_67"
"ncbi" "Bdellovibrionales bacterium RIFOXYD1_FULL_53_11" NA "Deltaproteobacteria" "Proteobacteria" "Bdellovibrionales bacterium RIFOXYD1_FULL_53_11"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Bacillus thuringiensis BMB171" "Bacillus" "Bacilli" "Firmicutes" "Bacillus thuringiensis BMB171"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Pseudomonas pseudoalcaligenes CECT 5344" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas pseudoalcaligenes CECT 5344"
"ncbi" "Nitrospira sp. SCGC AG-212-E16" "Nitrospira" "Nitrospira" "Nitrospirae" "Nitrospira sp. SCGC AG-212-E16"
"ncbi" "Planctomycetes bacterium GWF2_50_10" NA NA "Planctomycetes" "Planctomycetes bacterium GWF2_50_10"
"ncbi" "Mycobacterium sp. 1554424.7" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium sp. 1554424.7"
"ncbi" "Aurantimonas sp. Leaf443" "Aurantimonas" "Alphaproteobacteria" "Proteobacteria" "Aurantimonas sp. Leaf443"
"ncbi" "Pseudomonas aeruginosa SCV20265" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas aeruginosa SCV20265"
"ncbi" "Bradyrhizobium erythrophlei" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium erythrophlei"
"ncbi" "Methylococcus capsulatus str. Bath" "Methylococcus" "Gammaproteobacteria" "Proteobacteria" "Methylococcus capsulatus str. Bath"
"ncbi" "Bradyrhizobium sp." "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp."
"ncbi" "Phenylobacterium zucineum HLK1" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium zucineum HLK1"
"ncbi" "Caulobacter sp. Root487D2Y" "Caulobacter" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. Root487D2Y"
"ncbi" "Mycobacterium sp. E735" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium sp. E735"
"ncbi" "Novosphingobium fuchskuhlense" "Novosphingobium" "Alphaproteobacteria" "Proteobacteria" "Novosphingobium fuchskuhlense"
"ncbi" "Mesorhizobium sp. ORS3359" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium sp. ORS3359"
"ncbi" "Sphingomonas sp. WHSC-8" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. WHSC-8"
"ncbi" "Burkholderia multivorans ATCC 17616" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia multivorans ATCC 17616"
"ncbi" "Sphingomonas sp. Root241" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. Root241"
"ncbi" "Blastochloris viridis" "Blastochloris" "Alphaproteobacteria" "Proteobacteria" "Blastochloris viridis"
"ncbi" "Ochrobactrum intermedium LMG 3301" "Ochrobactrum" "Alphaproteobacteria" "Proteobacteria" "Ochrobactrum intermedium LMG 3301"
"ncbi" "Mycobacterium asiaticum" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium asiaticum"
"ncbi" "Mesorhizobium loti MAFF303099" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium loti MAFF303099"
"ncbi" "Bradyrhizobium yuanmingense" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium yuanmingense"
"ncbi" "Caulobacter sp. UNC279MFTsu5.1" "Caulobacter" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. UNC279MFTsu5.1"
"ncbi" "Bradyrhizobium japonicum SEMIA 5079" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium japonicum SEMIA 5079"
"ncbi" "Burkholderia sp. H160" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. H160"
"ncbi" "Phenylobacterium sp. SCN 70-31" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium sp. SCN 70-31"
"ncbi" "Bradyrhizobium sp. YR681" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. YR681"
"ncbi" "Brevundimonas viscosa" "Brevundimonas" "Alphaproteobacteria" "Proteobacteria" "Brevundimonas viscosa"
"ncbi" "Mesorhizobium alhagi CCNWXJ12-2" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium alhagi CCNWXJ12-2"
"ncbi" "Rhizobiales bacterium 64-17" NA "Alphaproteobacteria" "Proteobacteria" "Rhizobiales bacterium 64-17"
"ncbi" "Caulobacter sp. AP07" "Caulobacter" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. AP07"
"ncbi" "Variovorax paradoxus" "Variovorax" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Bradyrhizobium sp. Rc3b" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. Rc3b"
"ncbi" "Azospirillum thiophilum" "Azospirillum" "Alphaproteobacteria" "Proteobacteria" "Azospirillum thiophilum"
"ncbi" "Bosea sp. LC85" "Bosea" "Alphaproteobacteria" "Proteobacteria" "Bosea sp. LC85"
"ncbi" "Sphingomonas sp. Root710" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. Root710"
"ncbi" "Afipia broomeae ATCC 49717" "Afipia" "Alphaproteobacteria" "Proteobacteria" "Afipia broomeae ATCC 49717"
