NCBI.ID.x,Type,Color
NC_000913,label,#7FC97F
NC_000913,label,#7FC97F
NC_000913,label,#7FC97F
NC_000963,label,#7FC97F
NC_000964,label,#E6AB02
NC_000964,label,#E6AB02
NC_000964,label,#E6AB02
NC_000964,label,#E6AB02
NC_001263,label,#E31A1C
NC_001263,label,#E31A1C
NC_001263,label,#E31A1C
NC_001263,label,#E31A1C
NC_002488,label,#7FC97F
NC_002488,label,#7FC97F
NC_002488,label,#7FC97F
NC_002516,label,#7FC97F
NC_002516,label,#7FC97F
NC_002570,label,#E6AB02
NC_002570,label,#E6AB02
NC_002678,label,#7FC97F
NC_002678,label,#7FC97F
NC_002678,label,#7FC97F
NC_002927,label,#7FC97F
NC_002927,label,#7FC97F
NC_002927,label,#7FC97F
NC_002936,label,#999999
NC_002936,label,#999999
NC_002937,label,#7FC97F
NC_002937,label,#7FC97F
NC_002939,label,#7FC97F
NC_002939,label,#7FC97F
NC_002944,label,#F4CAE4
NC_002944,label,#F4CAE4
NC_002971,label,#7FC97F
NC_002971,label,#7FC97F
NC_002973,label,#E6AB02
NC_003030,label,#E6AB02
NC_003030,label,#E6AB02
NC_003062,label,#7FC97F
NC_003062,label,#7FC97F
NC_003062,label,#7FC97F
NC_003062,label,#7FC97F
NC_003062,label,#7FC97F
NC_003063,label,#7FC97F
NC_003063,label,#7FC97F
NC_003063,label,#7FC97F
NC_003063,label,#7FC97F
NC_003063,label,#7FC97F
NC_003155,label,#F4CAE4
NC_003155,label,#F4CAE4
NC_003197,label,#7FC97F
NC_003197,label,#7FC97F
NC_003212,label,#E6AB02
NC_003212,label,#E6AB02
NC_003212,label,#E6AB02
NC_003212,label,#E6AB02
NC_003272,label,#B3CDE3
NC_003272,label,#B3CDE3
NC_003272,label,#B3CDE3
NC_003272,label,#B3CDE3
NC_003272,label,#B3CDE3
NC_003272,label,#B3CDE3
NC_003272,label,#B3CDE3
NC_003295,label,#7FC97F
NC_003295,label,#7FC97F
NC_003361,label,#B15928
NC_003361,label,#B15928
NC_003366,label,#E6AB02
NC_003366,label,#E6AB02
NC_003902,label,#7FC97F
NC_003909,label,#E6AB02
NC_003909,label,#E6AB02
NC_003909,label,#E6AB02
NC_003909,label,#E6AB02
NC_003909,label,#E6AB02
NC_003997,label,#E6AB02
NC_003997,label,#E6AB02
NC_003997,label,#E6AB02
NC_004129,label,#7FC97F
NC_004129,label,#7FC97F
NC_004129,label,#7FC97F
NC_004193,label,#E6AB02
NC_004193,label,#E6AB02
NC_004193,label,#E6AB02
NC_004342,label,#F0027F
NC_004342,label,#F0027F
NC_004347,label,#7FC97F
NC_004347,label,#7FC97F
NC_004347,label,#7FC97F
NC_004369,label,#F4CAE4
NC_004369,label,#F4CAE4
NC_004369,label,#F4CAE4
NC_004369,label,#F4CAE4
NC_004463,label,#7FC97F
NC_004463,label,#7FC97F
NC_004463,label,#7FC97F
NC_004547,label,#7FC97F
NC_004547,label,#7FC97F
NC_004547,label,#7FC97F
NC_004551,label,#F4CAE4
NC_004556,label,#7FC97F
NC_004556,label,#7FC97F
NC_004557,label,#E6AB02
NC_004557,label,#E6AB02
NC_004572,label,#F4CAE4
NC_004631,label,#7FC97F
NC_004663,label,black
NC_004663,label,black
NC_004663,label,black
NC_004663,label,black
NC_004722,label,#E6AB02
NC_004722,label,#E6AB02
NC_004722,label,#E6AB02
NC_004722,label,#E6AB02
NC_004757,label,#7FC97F
NC_005085,label,#7FC97F
NC_005085,label,#7FC97F
NC_005125,label,#B3CDE3
NC_005296,label,#7FC97F
NC_005296,label,#7FC97F
NC_005296,label,#7FC97F
NC_005296,label,#7FC97F
NC_005296,label,#7FC97F
NC_005296,label,#7FC97F
NC_005363,label,#7FC97F
NC_005773,label,#7FC97F
NC_005773,label,#7FC97F
NC_005773,label,#7FC97F
NC_005773,label,#7FC97F
NC_005823,label,#F0027F
NC_005823,label,#F0027F
NC_005861,label,#B15928
NC_005945,label,#E6AB02
NC_005945,label,#E6AB02
NC_005945,label,#E6AB02
NC_005966,label,#7FC97F
NC_006155,label,#7FC97F
NC_006155,label,#7FC97F
NC_006155,label,#7FC97F
NC_006155,label,#7FC97F
NC_006177,label,#E6AB02
NC_006177,label,#E6AB02
NC_006274,label,#E6AB02
NC_006274,label,#E6AB02
NC_006274,label,#E6AB02
NC_006274,label,#E6AB02
NC_006274,label,#E6AB02
NC_006274,label,#E6AB02
NC_006274,label,#E6AB02
NC_006274,label,#E6AB02
NC_006322,label,#E6AB02
NC_006322,label,#E6AB02
NC_006350,label,#7FC97F
NC_006350,label,#7FC97F
NC_006350,label,#7FC97F
NC_006351,label,#7FC97F
NC_006351,label,#7FC97F
NC_006351,label,#7FC97F
NC_006361,label,#F4CAE4
NC_006361,label,#F4CAE4
NC_006361,label,#F4CAE4
NC_006368,label,#7FC97F
NC_006368,label,#7FC97F
NC_006369,label,#7FC97F
NC_006369,label,#7FC97F
NC_006511,label,#7FC97F
NC_006513,label,#7FC97F
NC_006513,label,#7FC97F
NC_006513,label,#7FC97F
NC_006513,label,#7FC97F
NC_006582,label,#E6AB02
NC_006582,label,#E6AB02
NC_006831,label,#7FC97F
NC_006834,label,#7FC97F
NC_006905,label,#7FC97F
NC_006905,label,#7FC97F
NC_006905,label,#7FC97F
NC_006932,label,#7FC97F
NC_006932,label,#7FC97F
NC_006933,label,#7FC97F
NC_006933,label,#7FC97F
NC_006958,label,#F4CAE4
NC_006958,label,#F4CAE4
NC_006958,label,#F4CAE4
NC_007086,label,#7FC97F
NC_007164,label,#F4CAE4
NC_007164,label,#F4CAE4
NC_007168,label,#E6AB02
NC_007168,label,#E6AB02
NC_007168,label,#E6AB02
NC_007168,label,#E6AB02
NC_007168,label,#E6AB02
NC_007168,label,#E6AB02
NC_007168,label,#E6AB02
NC_007168,label,#E6AB02
NC_007168,label,#E6AB02
NC_007204,label,#7FC97F
NC_007204,label,#7FC97F
NC_007298,label,#7FC97F
NC_007298,label,#7FC97F
NC_007298,label,#7FC97F
NC_007333,label,#F4CAE4
NC_007356,label,#999999
NC_007356,label,#999999
NC_007356,label,#999999
NC_007404,label,#7FC97F
NC_007404,label,#7FC97F
NC_007406,label,#7FC97F
NC_007406,label,#7FC97F
NC_007406,label,#7FC97F
NC_007434,label,#7FC97F
NC_007434,label,#7FC97F
NC_007434,label,#7FC97F
NC_007435,label,#7FC97F
NC_007435,label,#7FC97F
NC_007435,label,#7FC97F
NC_007492,label,#7FC97F
NC_007492,label,#7FC97F
NC_007492,label,#7FC97F
NC_007493,label,#7FC97F
NC_007493,label,#7FC97F
NC_007493,label,#7FC97F
NC_007493,label,#7FC97F
NC_007493,label,#7FC97F
NC_007493,label,#7FC97F
NC_007493,label,#7FC97F
NC_007493,label,#7FC97F
NC_007494,label,#7FC97F
NC_007494,label,#7FC97F
NC_007494,label,#7FC97F
NC_007494,label,#7FC97F
NC_007494,label,#7FC97F
NC_007494,label,#7FC97F
NC_007494,label,#7FC97F
NC_007494,label,#7FC97F
NC_007498,label,#7FC97F
NC_007508,label,#7FC97F
NC_007508,label,#7FC97F
NC_007508,label,#7FC97F
NC_007508,label,#7FC97F
NC_007508,label,#7FC97F
NC_007509,label,#7FC97F
NC_007509,label,#7FC97F
NC_007509,label,#7FC97F
NC_007509,label,#7FC97F
NC_007510,label,#7FC97F
NC_007510,label,#7FC97F
NC_007510,label,#7FC97F
NC_007510,label,#7FC97F
NC_007511,label,#7FC97F
NC_007511,label,#7FC97F
NC_007511,label,#7FC97F
NC_007511,label,#7FC97F
NC_007512,label,#1F78B4
NC_007512,label,#1F78B4
NC_007514,label,#1F78B4
NC_007517,label,#7FC97F
NC_007517,label,#7FC97F
NC_007517,label,#7FC97F
NC_007517,label,#7FC97F
NC_007519,label,#7FC97F
NC_007519,label,#7FC97F
NC_007530,label,#E6AB02
NC_007530,label,#E6AB02
NC_007530,label,#E6AB02
NC_007530,label,#E6AB02
NC_007530,label,#E6AB02
NC_007613,label,#7FC97F
NC_007613,label,#7FC97F
NC_007613,label,#7FC97F
NC_007613,label,#7FC97F
NC_007614,label,#7FC97F
NC_007614,label,#7FC97F
NC_007614,label,#7FC97F
NC_007614,label,#7FC97F
NC_007618,label,#7FC97F
NC_007618,label,#7FC97F
NC_007624,label,#7FC97F
NC_007624,label,#7FC97F
NC_007644,label,#E6AB02
NC_007650,label,#7FC97F
NC_007650,label,#7FC97F
NC_007650,label,#7FC97F
NC_007651,label,#7FC97F
NC_007651,label,#7FC97F
NC_007651,label,#7FC97F
NC_007760,label,#7FC97F
NC_007761,label,#7FC97F
NC_007761,label,#7FC97F
NC_007761,label,#7FC97F
NC_007761,label,#7FC97F
NC_007761,label,#7FC97F
NC_007761,label,#7FC97F
NC_007761,label,#7FC97F
NC_007761,label,#7FC97F
NC_007775,label,#B3CDE3
NC_007777,label,#F4CAE4
NC_007778,label,#7FC97F
NC_007778,label,#7FC97F
NC_007778,label,#7FC97F
NC_007794,label,#7FC97F
NC_007794,label,#7FC97F
NC_007794,label,#7FC97F
NC_007798,label,#7FC97F
NC_007880,label,#7FC97F
NC_007907,label,#E6AB02
NC_007907,label,#E6AB02
NC_007907,label,#E6AB02
NC_007907,label,#E6AB02
NC_007907,label,#E6AB02
NC_007907,label,#E6AB02
NC_007907,label,#E6AB02
NC_007907,label,#E6AB02
NC_007925,label,#7FC97F
NC_007925,label,#7FC97F
NC_007947,label,#7FC97F
NC_007947,label,#7FC97F
NC_007948,label,#7FC97F
NC_007948,label,#7FC97F
NC_007948,label,#7FC97F
NC_007958,label,#7FC97F
NC_007958,label,#7FC97F
NC_007958,label,#7FC97F
NC_007963,label,#7FC97F
NC_007963,label,#7FC97F
NC_007964,label,#7FC97F
NC_007964,label,#7FC97F
NC_007964,label,#7FC97F
NC_007964,label,#7FC97F
NC_007964,label,#7FC97F
NC_007969,label,#7FC97F
NC_007969,label,#7FC97F
NC_007969,label,#7FC97F
NC_007973,label,#7FC97F
NC_007973,label,#7FC97F
NC_007973,label,#7FC97F
NC_007973,label,#7FC97F
NC_007973,label,#7FC97F
NC_007973,label,#7FC97F
NC_008009,label,#FDB462
NC_008009,label,#FDB462
NC_008027,label,#7FC97F
NC_008027,label,#7FC97F
NC_008095,label,#7FC97F
NC_008146,label,#F4CAE4
NC_008146,label,#F4CAE4
NC_008146,label,#F4CAE4
NC_008146,label,#F4CAE4
NC_008148,label,#F4CAE4
NC_008148,label,#F4CAE4
NC_008149,label,#7FC97F
NC_008149,label,#7FC97F
NC_008149,label,#7FC97F
NC_008149,label,#7FC97F
NC_008150,label,#7FC97F
NC_008150,label,#7FC97F
NC_008150,label,#7FC97F
NC_008150,label,#7FC97F
NC_008150,label,#7FC97F
NC_008245,label,#7FC97F
NC_008254,label,#7FC97F
NC_008254,label,#7FC97F
NC_008254,label,#7FC97F
NC_008254,label,#7FC97F
NC_008254,label,#7FC97F
NC_008255,label,black
NC_008255,label,black
NC_008261,label,#E6AB02
NC_008268,label,#F4CAE4
NC_008268,label,#F4CAE4
NC_008268,label,#F4CAE4
NC_008268,label,#F4CAE4
NC_008268,label,#F4CAE4
NC_008268,label,#F4CAE4
NC_008278,label,#F4CAE4
NC_008313,label,#7FC97F
NC_008313,label,#7FC97F
NC_008313,label,#7FC97F
NC_008313,label,#7FC97F
NC_008314,label,#7FC97F
NC_008314,label,#7FC97F
NC_008314,label,#7FC97F
NC_008314,label,#7FC97F
NC_008343,label,#7FC97F
NC_008343,label,#7FC97F
NC_008380,label,#7FC97F
NC_008380,label,#7FC97F
NC_008380,label,#7FC97F
NC_008380,label,#7FC97F
NC_008380,label,#7FC97F
NC_008380,label,#7FC97F
NC_008380,label,#7FC97F
NC_008390,label,#7FC97F
NC_008390,label,#7FC97F
NC_008390,label,#7FC97F
NC_008390,label,#7FC97F
NC_008391,label,#7FC97F
NC_008391,label,#7FC97F
NC_008391,label,#7FC97F
NC_008391,label,#7FC97F
NC_008392,label,#7FC97F
NC_008392,label,#7FC97F
NC_008392,label,#7FC97F
NC_008392,label,#7FC97F
NC_008435,label,#7FC97F
NC_008435,label,#7FC97F
NC_008463,label,#7FC97F
NC_008463,label,#7FC97F
NC_008497,label,#E6AB02
NC_008497,label,#E6AB02
NC_008497,label,#E6AB02
NC_008508,label,#F0027F
NC_008508,label,#F0027F
NC_008510,label,#F0027F
NC_008510,label,#F0027F
NC_008536,label,#FDB462
NC_008536,label,#FDB462
NC_008541,label,#F4CAE4
NC_008541,label,#F4CAE4
NC_008541,label,#F4CAE4
NC_008541,label,#F4CAE4
NC_008542,label,#7FC97F
NC_008542,label,#7FC97F
NC_008542,label,#7FC97F
NC_008542,label,#7FC97F
NC_008542,label,#7FC97F
NC_008543,label,#7FC97F
NC_008543,label,#7FC97F
NC_008543,label,#7FC97F
NC_008543,label,#7FC97F
NC_008543,label,#7FC97F
NC_008544,label,#7FC97F
NC_008544,label,#7FC97F
NC_008544,label,#7FC97F
NC_008544,label,#7FC97F
NC_008544,label,#7FC97F
NC_008593,label,#E6AB02
NC_008595,label,#F4CAE4
NC_008595,label,#F4CAE4
NC_008595,label,#F4CAE4
