Taxon	Abundance	Fraction Abundance
metagenomes	200.54100000000003	0.0658
Chloroflexi	230.81400000000002	0.0758
Acidobacteria	492.60400000000016	0.1617
Thermobaculum	31.68	0.0104
Gammaproteobacteria	156.62900000000002	0.0514
Firmicutes	448.69100000000003	0.1473
Planctomycetes	20.877000000000002	0.0069
Aquificae	56.758	0.0186
Verrucomicrobia	2.884	0.0009
Betaproteobacteria	6.194	0.0020
Bacteroidetes	2.588	0.0008
Actinobacteria	1042.5989999999995	0.3422
Alphaproteobacteria	336.3329999999999	0.1104
Viridiplantae	6.052	0.0020
environmentalsamples	11.725	0.0038


Lineage	MatchName	Abundance	Fraction Abundance
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter	85689103_Erythrobacter_sp._NAP1	2.6029999999999998	0.0009
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter	58000905_Gluconobacter_oxydans_621H	1.043	0.0003
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;unclassifiedAcetobacteraceae	363719759_Acetobacteraceae_bacterium_AT-5844	14.234	0.0047
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Actinosynnema	255918463_Actinosynnema_mirum_DSM_43827	1.967	0.0006
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Mycobacteriaceae;Mycobacterium	333484608_Mycobacterium_sp._JDM601	1.139	0.0004
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter	161784420_Gluconacetobacter_diazotrophicus_PA1_5	4.359	0.0014
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum	288926859_Rhodospirillum_centenum_SW	199.676	0.0655
Bacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium	225791207_Acidobacterium_capsulatum_ATCC_51196	32.123000000000005	0.0105
Bacteria;Actinobacteria;Rubrobacteridae;Solirubrobacterales;Conexibacteraceae;Conexibacter	283945692_Conexibacter_woesei_DSM_14684	203.61999999999998	0.0668
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Komagataeibacter	295976721_Komagataeibacter_hansenii_ATCC_23769	0.628	0.0002
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Starkeya	296926528_Starkeya_novella_DSM_506	4.7	0.0015
