LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ARSC1_ECOLX, (P08692) (ARSC1_ECOLX)
ARSC_SHIFL, (P0AB97) (ARSC_SHIFL)
Q9A861_CAUCR, (Q9A861) (Q9A861_CAUCR)
Q9CJQ0_PASMU, (Q9CJQ0) (Q9CJQ0_PASMU)
Q9A083_STRP1, (Q9A083) (Q9A083_STRP1)
Q9CLS9_PASMU, (Q9CLS9) (Q9CLS9_PASMU)
Q9KQ39_VIBCH, (Q9KQ39) (Q9KQ39_VIBCH)
YFGD_ECOLI, (P76569) (YFGD_ECOLI)
Q9I508_PSEAE, (Q9I508) (Q9I508_PSEAE)
ARSC_NEIMB, (P63622) (ARSC_NEIMB)
Q9CM21_PASMU, (Q9CM21) (Q9CM21_PASMU)
ABS30734.1, Acidocella_sp._MM9 (ABS30734.1)
ADO32948.1, Acidovorax_sp._GW2 (ADO32948.1)
AEA22640.1, Pseudonocardia_dioxanivorans_CB1190 (AEA22640.1)
AFV13704.1, uncultured_bacterium (AFV13704.1)
AFV13723.1, uncultured_bacterium (AFV13723.1)
AIZ47727.1, uncultured_bacterium (AIZ47727.1)
AIZ47728.1, uncultured_bacterium (AIZ47728.1)
AIZ47734.1, uncultured_bacterium (AIZ47734.1)
AIZ47747.1, uncultured_bacterium (AIZ47747.1)
AIZ47752.1, uncultured_bacterium (AIZ47752.1)
AIZ47754.1, uncultured_bacterium (AIZ47754.1)
AIZ47759.1, uncultured_bacterium (AIZ47759.1)
AIZ47770.1, uncultured_bacterium (AIZ47770.1)
AIZ47772.1, uncultured_bacterium (AIZ47772.1)
AIZ47774.1, uncultured_bacterium (AIZ47774.1)
AIZ47785.1, uncultured_bacterium (AIZ47785.1)
AIZ47787.1, uncultured_bacterium (AIZ47787.1)
AIZ47800.1, uncultured_bacterium (AIZ47800.1)
AIZ47805.1, uncultured_bacterium (AIZ47805.1)
AIZ47806.1, uncultured_bacterium (AIZ47806.1)
AIZ47807.1, uncultured_bacterium (AIZ47807.1)
AIZ47809.1, uncultured_bacterium (AIZ47809.1)
AIZ47815.1, uncultured_bacterium (AIZ47815.1)
AIZ47817.1, uncultured_bacterium (AIZ47817.1)
AIZ47818.1, uncultured_bacterium (AIZ47818.1)
AIZ47825.1, uncultured_bacterium (AIZ47825.1)
AIZ47831.1, uncultured_bacterium (AIZ47831.1)
AIZ47847.1, uncultured_bacterium (AIZ47847.1)
AIZ47848.1, uncultured_bacterium (AIZ47848.1)
AIZ47850.1, uncultured_bacterium (AIZ47850.1)
AIZ47855.1, uncultured_bacterium (AIZ47855.1)
AIZ47857.1, uncultured_bacterium (AIZ47857.1)
AIZ47860.1, uncultured_bacterium (AIZ47860.1)
AIZ47865.1, uncultured_bacterium (AIZ47865.1)
AKB90510.1, Ochrobactrum_tritici (AKB90510.1)
AKS30145.1, uncultured_bacterium (AKS30145.1)
AKS30151.1, uncultured_bacterium (AKS30151.1)
AKS30155.1, uncultured_bacterium (AKS30155.1)
AKS30156.1, uncultured_bacterium (AKS30156.1)
AKS30160.1, uncultured_bacterium (AKS30160.1)
AKS30162.1, uncultured_bacterium (AKS30162.1)
AKS30173.1, uncultured_bacterium (AKS30173.1)
AKS30178.1, uncultured_bacterium (AKS30178.1)
AKS30182.1, uncultured_bacterium (AKS30182.1)
AKS30186.1, uncultured_bacterium (AKS30186.1)
AKS30203.1, uncultured_bacterium (AKS30203.1)
ALC14753.1, Sphingopyxis_sp._113P3 (ALC14753.1)
ALE71908.1, uncultured_bacterium (ALE71908.1)
ALE71912.1, uncultured_bacterium (ALE71912.1)
ALE71921.1, uncultured_bacterium (ALE71921.1)
ALE71926.1, uncultured_bacterium (ALE71926.1)
ALP52005.1, Candidatus_Tenderia_electrophaga (ALP52005.1)
ANK82815.1, Rhizobiales_bacterium_NRL2 (ANK82815.1)
ARR74474.1, uncultured_bacterium (ARR74474.1)
