LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
b3502,Escherichia coli str. K-12 substr. MG1655
BSU36030,Bacillus subtilis subsp. subtilis str. 168
BSU05340,Bacillus subtilis subsp. subtilis str. 168
PA2278,Pseudomonas aeruginosa PAO1
BH_RS15105,Bacillus halodurans C-125
TVG_RS01495,Thermoplasma volcanium GSS1
BB_RS05935,Bordetella bronchiseptica RB50
DET_RS04740,Dehalococcoides mccartyi 195
MAP_RS02475,Mycobacterium avium subsp. paratuberculosi
LMOF2365_RS06555,Listeria monocytogenes serotype 4b str. F2365
SAP1_RS38500,Streptomyces avermitilis MA-4680
LIN_RS06835,Listeria innocua Clip11262
BCE_RS25620,Bacillus cereus ATCC 10987
BA_5462,Bacillus anthracis str. Ames
PFL_RS16590,Pseudomonas protegens Pf-5
PFL_RS11040,Pseudomonas protegens Pf-5
OB_RS12445,Oceanobacillus iheyensis HTE831
OB_RS10450,Oceanobacillus iheyensis HTE831
blr5272,Bradyrhizobium diazoefficiens USDA 110
ECA_RS07945,Pectobacterium atrosepticum SCRI1043
BC5226,Bacillus cereus ATCC 14579
TX73_RS17325,Rhodopseudomonas palustris CGA009
TX73_RS11520,Rhodopseudomonas palustris CGA009
PSPPH_RS18225,Pseudomonas savastanoi pv. phaseolicola 1448A
PTO_RS00425,Picrophilus torridus DSM 9790
BAS5075,Bacillus anthracis str. Sterne
YPTB_RS04360,Yersinia pseudotuberculosis IP 32953
STH_RS04595,Symbiobacterium thermophilum IAM 14863
BCE33L_RS26200,Bacillus cereus E33L
BLI_RS10500,Bacillus licheniformis DSM 13
ABC_RS04430,Bacillus clausii KSM-K16
TK_RS04340,Thermococcus kodakarensis KOD1
SH_RS00910,Staphylococcus haemolyticus JCSC1435
SH_RS00490,Staphylococcus haemolyticus JCSC1435
SH_RS00460,Staphylococcus haemolyticus JCSC1435
PSYC_RS04960,Psychrobacter arcticus 273-4
CBDB_RS03635,Dehalococcoides mccartyi CBDB1
PFL01_RS12120,Pseudomonas fluorescens Pf0-1
PFL01_RS11060,Pseudomonas fluorescens Pf0-1
GBAA_RS26630,Bacillus anthracis str. 'Ames Ancestor'
SBO_RS19325,Shigella boydii Sb227
RHE_RS03030,Rhizobium etli CFN 42
MFLA_RS07635,Methylobacillus flagellatus KT
CSAL_RS07545,Chromohalobacter salexigens DSM 3043
PCRYO_RS07465,Psychrobacter cryohalolentis K5
PSEEN_RS15280,Pseudomonas entomophila L48
MMCS_RS23845,Mycobacterium sp. MCS
RXYL_RS05330,Rubrobacter xylanophilus DSM 9941
RXYL_RS05205,Rubrobacter xylanophilus DSM 9941
YPN_RS03995,Yersinia pestis Nepal516
YPA_RS14620,Yersinia pestis Antiqua
RHA1_RS05705,Rhodococcus jostii RHA1
GBCGDNIH1_RS10850,Granulibacter bethesdensis CGDNIH1
PA14_RS14295,Pseudomonas aeruginosa UCBPP-PA14
MAV_RS02780,Mycobacterium avium 104
MKMS_RS24085,Mycobacterium sp. KMS
AAVE_RS14190,Acidovorax citrulli AAC00-1
HHAL_RS01590,Halorhodospira halophila SL1
MJLS_RS25595,Mycobacterium sp. JLS
GTNG_RS08115,Geobacillus thermodenitrificans NG80-2
MFLV_RS07265,Mycobacterium gilvum PYR-GCK
SPUTCN32_RS19890,Shewanella putrefaciens CN-32
SPUTCN32_RS06210,Shewanella putrefaciens CN-32
BRADO_RS15185,Bradyrhizobium sp. ORS 278
DEHABAV1_RS04195,Dehalococcoides mccartyi BAV1
RCI_RS00520,Methanocella arvoryzae MRE50
ACRY_RS16575,Acidiphilium cryptum JF-5
PPUT_RS15230,Pseudomonas putida F1
PSYCPRWF_RS05810,Psychrobacter sp. PRwf-1
TBFG_RS18910,Mycobacterium tuberculosis F11
KPN_RS17715,Klebsiella pneumoniae subsp. pneumoniae MG
MMA_RS13655,Janthinobacterium sp. Marseille
RBAM_RS17905,Bacillus methylotrophicus FZB42
RBAM_RS16565,Bacillus methylotrophicus FZB42
SPRO_RS12275,Serratia proteamaculans 568
BPUM_RS20280,Bacillus pumilus SAFR-032
SARE_RS10265,Salinispora arenicola CNS-205
DACI_RS22070,Delftia acidovorans SPH-1
ACL_RS00700,Acholeplasma laidlawii PG-8A
BPET_RS13725,Bordetella petrii
MEXT_RS19910,Methylobacterium extorquens PA1
MEXT_RS09680,Methylobacterium extorquens PA1
BCERKBAB4_RS25175,Bacillus weihenstephanensis KBAB4
PPUTGB1_RS18535,Pseudomonas putida GB-1
PPUTGB1_RS15595,Pseudomonas putida GB-1
YPK_RS17160,Yersinia pseudotuberculosis YPIII
ECOLC_RS01125,Escherichia coli ATCC 8739
ECDH10B_RS18700,Escherichia coli str. K-12 substr. DH10B
PPUTW619_RS08710,Pseudomonas putida W619
MRAD2831_RS52895,Methylobacterium radiotolerans JCM 2831
MRAD2831_RS38805,Methylobacterium radiotolerans JCM 2831
M446_RS09405,Methylobacterium sp. 4-46
PMI_RS10600,Proteus mirabilis HI4320
EXIG_RS07400,Exiguobacterium sibiricum 255-15
SGR_RS09905,Streptomyces griseus subsp. griseus NBRC 13350
BIND_RS15160,Beijerinckia indica subsp. indica ATCC 9039
YPTS_RS04225,Yersinia pseudotuberculosis PB1/+
MPOP_RS21960,Methylobacterium populi BJ001
MPOP_RS03470,Methylobacterium populi BJ001
SYO3AOP1_RS04835,Sulfurihydrogenibium sp. YO3AOP1
SMLT_RS12260,Stenotrophomonas maltophilia K279a
RPAL_RS19190,Rhodopseudomonas palustris TIE-1
SESA_RS04010,Salmonella enterica subsp. enterica serova
GDIA_RS12770,Gluconacetobacter diazotrophicus PA1 5
GDIA_RS05215,Gluconacetobacter diazotrophicus PA1 5
BCAH187_RS26300,Bacillus cereus AH187
LMHCC_RS06505,Listeria monocytogenes HCC23
BCB4264_RS26340,Bacillus cereus B4264
MCHL_RS21060,Methylobacterium extorquens CM4
AFE_RS13130,Acidithiobacillus ferrooxidans ATCC 23270
PLES_RS15685,Pseudomonas aeruginosa LESB58
BCG9842_RS25850,Bacillus cereus G9842
BCAH820_RS26440,Bacillus cereus AH820
MNOD_RS11220,Methylobacterium nodulans ORS 2060
BCQ_RS25580,Bacillus cereus Q1
AVI_RS14005,Agrobacterium vitis S4
DTPSY_RS10715,Acidovorax ebreus TPSY
JTY_RS18685,Mycobacterium bovis BCG str. Tokyo 172
SULAZ_RS03915,Sulfurihydrogenibium azorense Az-Fu1
BCA_RS27040,Bacillus cereus 03BB102
ACP_RS10770,Acidobacterium capsulatum ATCC 51196
LM4B_RS06535,Listeria monocytogenes serotype 4b str. CLI
