Taxon	Abundance	Fraction Abundance
coded_by=6025..6759,organism=Solirubrobacterales bacterium 70-9,definition=arsenite S-adenosylmethyltransferase	4.192	0.0237
coded_by=complement(2467..3213),organism=Actinobacteria bacterium 13_2_20CM_2_66_6,definition=hypothetical protein	7.234	0.0409
coded_by=79731..>80588,organism=Chloroflexi bacterium RBG_16_70_13,definition=hypothetical protein	1.928	0.0109
coded_by=complement(4058760..4059569),organism=Microlunatus phosphovorus NM-1,definition=putative methyltransferase	2.122	0.0120
coded_by=<1..>324,organism=uncultured bacterium,definition=ArsM	9.678	0.0547
coded_by=complement(1678..2499),organism=Actinobacteria bacterium RBG_16_70_17,definition=hypothetical protein	11.172	0.0632
coded_by=complement(1300..2193),organism=Geodermatophilus sp. DSM 44208,definition=Methyltransferase domain-containing protein	1.385	0.0078
coded_by=complement(8841..9599),organism=Actinobacteria bacterium 13_2_20CM_2_66_6,definition=hypothetical protein	43.827	0.2479
coded_by=complement(2784321..2785109),organism=Polaromonas sp. JS666,definition=Methyltransferase type 11	12.094	0.0684
coded_by=583..1341,organism=Actinobacteria bacterium 13_1_20CM_2_66_18,definition=hypothetical protein	11.807	0.0668
coded_by=<1..>347,organism=uncultured bacterium,definition=arsenite s-adenosylmethyltransferase	55.882999999999996	0.3161
coded_by=complement(53447..54337),organism=Streptomyces mangrovisoli,definition=arsenite S-adenosylmethyltransferase	3.513	0.0199
coded_by=complement(442254..443009),organism=Intrasporangium calvum DSM 43043,definition=Methyltransferase type 11	1.434	0.0081
coded_by=complement(2527..3357),organism=Actinobacteria bacterium RBG_16_70_17,definition=hypothetical protein	5.917	0.0335
coded_by=complement(4339..5154),organism=Candidatus Rokubacteria bacterium RIFCSPHIGHO2_02_FULL_73_26,definition=arsenite S-adenosylmethyltransferase	1.978	0.0112
coded_by=3610315..3611220,organism=Rubinisphaera brasiliensis DSM 5305,definition=Methyltransferase type 11	2.638	0.0149
