Gene	Sample	t.name	t.length	q.name	q.length	e.value	score1	bias1	#	of	c.evalue	i.evalue	score2	bias2	from.hmm	to.hmm	from.ali	to.ali	from.env	to.env	acc	NCBI.ID	length	perc.ali
arsM	plasmid.protein.fa	WP_041339041.1_39	272	arsM	269	7.4e-91	307.8	0.1	1	1	2.8e-94	9.2e-91	307.5	0.1	6	268	7	270	4	271	0.9	NZ_CP007516.1	263	0.977695167286245
arsM	plasmid.protein.fa	WP_013335048.1_332	799	arsM	269	4.5e-24	88.8	0	1	2	6.3e-17	2.1e-13	53.9	0	79	268	52	246	48	247	0.86	NC_014534.1	194	0.721189591078067
arsM	bacteria.protein.fa	XCEL_RS16795	265	arsM	269	3e-85	293.7	4.7	1	1	1.6e-88	3.7e-85	293.3	4.7	6	240	5	247	1	262	0.91	NC_013530	242	0.899628252788104
arsM	bacteria.protein.fa	VAPA_RS29985	256	arsM	269	2.8e-51	182.3	0	1	1	1.3e-54	3.1e-51	182.1	0	47	265	36	254	5	256	0.91	NC_022234	218	0.810408921933085
arsM	bacteria.protein.fa	UFO1_RS19480	411	arsM	269	1.9e-100	343.5	0.1	1	1	1.4e-103	3.3e-100	342.7	0.1	6	268	3	262	1	263	0.96	NZ_CP008852	259	0.962825278810409
arsM	bacteria.protein.fa	TX73_RS18190	283	arsM	269	6e-117	397.6	0.1	1	1	2.9e-120	6.8e-117	397.4	0.1	3	268	3	272	1	273	0.97	NC_005296	269	1
arsM	bacteria.protein.fa	TERRO_RS00245	310	arsM	269	1.8e-78	271.4	1.6	1	1	7.7e-82	1.8e-78	271.4	1.6	16	235	12	217	1	231	0.91	NC_018014	205	0.762081784386617
arsM	bacteria.protein.fa	TBD_RS07130	268	arsM	269	7.4e-122	413.7	2.9	1	1	3.7e-125	8.5e-122	413.5	2.9	3	269	4	268	2	268	0.97	NC_007404	264	0.981412639405205
arsM	bacteria.protein.fa	STH_RS11815	276	arsM	269	1.9e-122	415.7	0.7	1	1	9.1e-126	2.1e-122	415.5	0.7	4	268	2	275	1	276	0.98	NC_006177	273	1.01486988847584
arsM	bacteria.protein.fa	SOLCA_RS17805	279	arsM	269	1.8e-80	278	0.8	1	1	8.9e-84	2.1e-80	277.8	0.8	3	267	2	268	1	270	0.91	NC_017770	266	0.988847583643123
arsM	bacteria.protein.fa	SNAS_RS26635	241	arsM	269	3e-67	234.6	0.7	1	1	1.7e-70	4e-67	234.2	0.7	36	238	24	224	3	240	0.89	NC_013947	200	0.743494423791822
arsM	bacteria.protein.fa	SNAS_RS16875	241	arsM	269	1.9e-66	232	1	1	1	1.1e-69	2.6e-66	231.6	1	14	238	8	224	2	240	0.89	NC_013947	216	0.802973977695167
arsM	bacteria.protein.fa	SNAS_RS08495	265	arsM	269	4.7e-87	299.6	1.2	1	1	3.6e-90	8.2e-87	298.8	1.2	3	242	19	252	17	265	0.95	NC_013947	233	0.866171003717472
arsM	bacteria.protein.fa	SMUL_RS04505	995	arsM	269	7.6e-50	177.6	0	1	1	7.3e-53	1.7e-49	176.4	0	48	234	462	653	425	675	0.91	NZ_CP007201	191	0.71003717472119
arsM	bacteria.protein.fa	SINAC_RS22565	296	arsM	269	8.3e-78	269.3	1.6	1	1	8.9e-81	2.1e-77	268	1.5	10	235	7	218	1	234	0.9	NC_019892	211	0.784386617100372
arsM	bacteria.protein.fa	SCE1572_RS04690	265	arsM	269	1.2e-110	376.9	0.1	1	1	5.9e-114	1.4e-110	376.7	0.1	3	269	4	260	2	260	0.97	NC_021658	256	0.951672862453532
arsM	bacteria.protein.fa	SCE_RS28900	392	arsM	269	3.1e-55	195.2	0	1	1	1.9e-58	4.3e-55	194.8	0	43	236	21	223	4	259	0.86	NC_010162	202	0.75092936802974
arsM	bacteria.protein.fa	SACTE_RS29660	280	arsM	269	1.5e-82	284.8	1.1	1	1	9.5e-86	2.2e-82	284.3	1.1	5	239	5	232	1	258	0.94	NC_015953	227	0.843866171003718
arsM	bacteria.protein.fa	RXYL_RS14385	246	arsM	269	8.6e-74	256.1	2.7	1	1	9.9e-76	2.3e-72	251.4	2.7	8	238	5	218	2	241	0.89	NC_008148	213	0.79182156133829
arsM	bacteria.protein.fa	RPDX1_RS08790	282	arsM	269	3.8e-114	388.4	0.1	1	1	1.9e-117	4.4e-114	388.2	0.1	3	267	3	272	1	274	0.98	NC_014834	269	1
arsM	bacteria.protein.fa	RPD_RS17210	271	arsM	269	5.5e-114	387.9	0.1	1	1	3e-117	6.8e-114	387.6	0.1	6	268	4	266	1	267	0.97	NC_007958	262	0.973977695167286
arsM	bacteria.protein.fa	RPB_RS09900	276	arsM	269	8.1e-112	380.8	0.1	1	1	4.7e-115	1.1e-111	380.4	0.1	5	268	3	266	1	267	0.97	NC_007778	263	0.977695167286245
arsM	bacteria.protein.fa	RPAL_RS20190	283	arsM	269	1.3e-116	396.5	0.1	1	1	6.1e-120	1.4e-116	396.4	0.1	3	268	3	272	1	273	0.97	NC_011004	269	1
arsM	bacteria.protein.fa	PSAB_RS12460	274	arsM	269	1.3e-117	399.7	0.1	1	1	6.6e-121	1.5e-117	399.5	0.1	4	266	5	272	2	274	0.94	NZ_CP004078	267	0.992565055762082
arsM	bacteria.protein.fa	PPM_RS16135	263	arsM	269	2.9e-111	379	0.1	1	1	1.4e-114	3.3e-111	378.8	0.1	4	266	5	262	2	263	0.96	NC_017542	257	0.955390334572491
arsM	bacteria.protein.fa	PCAR_RS11475	1014	arsM	269	5.8e-62	217.3	0.1	2	2	5e-63	1.2e-59	209.7	0.3	45	234	471	665	464	675	0.92	NC_007498	194	0.721189591078067
arsM	bacteria.protein.fa	OTER_RS08050	267	arsM	269	8e-105	357.8	0.4	1	1	4.2e-108	9.7e-105	357.6	0.4	4	267	8	265	6	267	0.97	NC_010571	257	0.955390334572491
arsM	bacteria.protein.fa	OP10G_RS14390	293	arsM	269	3.5e-104	355.7	0.9	1	1	1.9e-107	4.5e-104	355.4	0.9	4	267	8	293	5	293	0.91	NZ_CP007139	285	1.05947955390335
arsM	bacteria.protein.fa	O3I_RS39435	266	arsM	269	1.2e-82	285.1	6	1	1	1.3e-85	2.9e-82	283.9	5.8	4	241	4	237	1	262	0.92	NC_018681	233	0.866171003717472
arsM	bacteria.protein.fa	NOCA_RS20410	267	arsM	269	1.5e-86	297.9	3.6	1	1	8.6e-90	2e-86	297.5	3.6	4	241	3	252	1	267	0.94	NC_008699	249	0.925650557620818
arsM	bacteria.protein.fa	NOCA_RS18225	262	arsM	269	2.7e-53	188.9	0.1	1	1	1.4e-56	3.2e-53	188.6	0.1	47	246	43	241	19	260	0.94	NC_008699	198	0.736059479553903
arsM	bacteria.protein.fa	NIAKO_RS20035	278	arsM	269	8.6e-78	269.2	1.5	1	1	4.4e-81	1e-77	269	1.5	3	239	2	231	1	273	0.89	NC_016609	229	0.851301115241636
arsM	bacteria.protein.fa	N008_RS04960	349	arsM	269	3.2e-48	172.2	0	1	1	2.3e-51	5.3e-48	171.5	0	60	266	42	255	2	257	0.79	NZ_CP006587	213	0.79182156133829
arsM	bacteria.protein.fa	MRAD2831_RS44650	348	arsM	269	8.1e-35	128.3	0	1	1	4.3e-38	1e-34	128	0	64	264	44	251	19	256	0.83	NC_010505	207	0.769516728624535
arsM	bacteria.protein.fa	MLP_RS18165	269	arsM	269	1.1e-87	301.6	4.5	1	1	1.3e-90	3e-87	300.2	4.5	5	242	11	255	7	269	0.91	NC_015635	244	0.907063197026022
arsM	bacteria.protein.fa	MLP_RS17170	254	arsM	269	5.5e-52	184.6	0.1	1	1	3e-55	6.8e-52	184.3	0.1	6	241	4	241	1	252	0.89	NC_015635	237	0.881040892193309
arsM	bacteria.protein.fa	MINF_RS00625	263	arsM	269	1.6e-103	353.6	0.2	1	1	8e-107	1.8e-103	353.4	0.2	7	268	6	255	1	256	0.95	NC_010794	249	0.925650557620818
arsM	bacteria.protein.fa	LFE_RS07035	263	arsM	269	4.2e-107	365.3	0.1	1	1	2.1e-110	4.8e-107	365.1	0.1	4	266	5	263	2	263	0.93	NC_017094	258	0.95910780669145
arsM	bacteria.protein.fa	HYPDE_RS04510	349	arsM	269	3e-50	178.9	0	1	1	1.9e-53	4.3e-50	178.4	0	35	266	28	256	1	257	0.84	NC_021172	228	0.847583643122677
arsM	bacteria.protein.fa	HALSA_RS03295	263	arsM	269	1.3e-98	337.5	2.7	1	1	6.1e-102	1.4e-98	337.4	2.7	3	266	3	263	1	263	0.96	NC_014654	260	0.966542750929368
arsM	bacteria.protein.fa	GY50_RS06045	277	arsM	269	2.6e-91	313.5	2.5	1	1	1.6e-94	3.8e-91	313	2.5	6	267	2	276	1	277	0.92	NC_022964	274	1.0185873605948
arsM	bacteria.protein.fa	GURA_RS12430	280	arsM	269	8.5e-74	256.1	0.2	1	1	4.7e-77	1.1e-73	255.8	0.2	6	240	6	240	1	280	0.83	NC_009483	234	0.869888475836431
arsM	bacteria.protein.fa	GMET_RS13985	266	arsM	269	2.3e-111	379.3	0.9	1	1	1.2e-114	2.7e-111	379.1	0.9	4	267	5	266	2	266	0.97	NC_007517	261	0.970260223048327
arsM	bacteria.protein.fa	GLOV_RS09860	1000	arsM	269	1.1e-49	177	0.1	1	1	9.5e-53	2.2e-49	176.1	0.1	49	234	475	665	443	677	0.91	NC_010814	190	0.706319702602231
arsM	bacteria.protein.fa	GLOV_RS04405	350	arsM	269	7.3e-50	177.6	0	1	1	5.4e-53	1.3e-49	176.9	0	59	266	44	258	1	261	0.83	NC_010814	214	0.795539033457249
arsM	bacteria.protein.fa	GAU_RS06475	287	arsM	269	1.4e-108	370.1	1.3	1	1	7e-112	1.6e-108	369.9	1.3	6	268	4	278	1	279	0.96	NC_012489	274	1.0185873605948
arsM	bacteria.protein.fa	GAU_RS03580	299	arsM	269	6e-117	397.6	1	1	1	3.1e-120	7.2e-117	397.3	1	3	268	2	283	1	284	0.98	NC_012489	281	1.04460966542751
arsM	bacteria.protein.fa	DSY_RS22020	270	arsM	269	2.5e-112	382.4	0.1	1	1	1.2e-115	2.8e-112	382.3	0.1	5	268	1	270	1	270	0.98	NC_007907	269	1
arsM	bacteria.protein.fa	DSY_RS10335	350	arsM	269	8.2e-52	184	0	1	1	6e-55	1.4e-51	183.3	0	6	239	2	230	1	256	0.81	NC_007907	228	0.847583643122677
arsM	bacteria.protein.fa	DOLE_RS03925	266	arsM	269	5.5e-109	371.5	3.9	1	1	2.7e-112	6.2e-109	371.3	3.9	3	268	4	265	2	266	0.96	NC_009943	261	0.970260223048327
arsM	bacteria.protein.fa	DMR_RS03840	794	arsM	269	6.9e-59	207.2	0.3	1	1	6.7e-62	1.6e-58	206.1	0.3	18	235	440	668	428	692	0.84	NC_012796	228	0.847583643122677
arsM	bacteria.protein.fa	DHCVS_RS05850	277	arsM	269	2.2e-91	313.7	0.6	1	1	1.4e-94	3.2e-91	313.2	0.6	6	267	2	276	1	277	0.92	NC_013552	274	1.0185873605948
arsM	bacteria.protein.fa	DHAF_RS15520	350	arsM	269	1.4e-51	183.3	0	1	1	9.6e-55	2.2e-51	182.6	0	6	239	2	230	1	256	0.82	NC_011830	228	0.847583643122677
arsM	bacteria.protein.fa	DHAF_RS06030	270	arsM	269	1e-108	370.6	0	1	1	5e-112	1.1e-108	370.4	0	5	266	1	268	1	270	0.97	NC_011830	267	0.992565055762082
