NC_000913, Escherichia coli (NC_000913)
NC_000963, Rickettsia prowazekii (NC_000963)
NC_000964, Bacillus subtilis (NC_000964)
NC_001263, Deinococcus radiodurans (NC_001263)
NC_002488, Xylella fastidiosa (NC_002488)
NC_002516, Pseudomonas aeruginosa (NC_002516)
NC_002570, Bacillus halodurans (NC_002570)
NC_002678, Mesorhizobium loti (NC_002678)
NC_002927, Bordetella bronchiseptica (NC_002927)
NC_002936, Dehalococcoides mccartyi (NC_002936)
NC_002937, Desulfovibrio vulgaris (NC_002937)
NC_002939, Geobacter sulfurreducens (NC_002939)
NC_002944, Mycobacterium avium (NC_002944)
NC_002971, Coxiella burnetii (NC_002971)
NC_002973, Listeria monocytogenes (NC_002973)
NC_003030, Clostridium acetobutylicum (NC_003030)
NC_003062, Agrobacterium fabrum (NC_003062)
NC_003063, Agrobacterium fabrum (NC_003063)
NC_003155, Streptomyces avermitilis (NC_003155)
NC_003197, Salmonella enterica (NC_003197)
NC_003212, Listeria innocua (NC_003212)
NC_003272, Nostoc sp. (NC_003272)
NC_003295, Ralstonia solanacearum (NC_003295)
NC_003361, Chlamydophila caviae (NC_003361)
NC_003366, Clostridium perfringens (NC_003366)
NC_003902, Xanthomonas campestris (NC_003902)
NC_003909, Bacillus cereus (NC_003909)
NC_003997, Bacillus anthracis (NC_003997)
NC_004129, Pseudomonas protegens (NC_004129)
NC_004193, Oceanobacillus iheyensis (NC_004193)
NC_004342, Leptospira interrogans (NC_004342)
NC_004347, Shewanella oneidensis (NC_004347)
NC_004369, Corynebacterium efficiens (NC_004369)
NC_004463, Bradyrhizobium diazoefficiens (NC_004463)
NC_004547, Pectobacterium atrosepticum (NC_004547)
NC_004551, Tropheryma whipplei (NC_004551)
NC_004556, Xylella fastidiosa (NC_004556)
NC_004557, Clostridium tetani (NC_004557)
NC_004572, Tropheryma whipplei (NC_004572)
NC_004631, Salmonella enterica (NC_004631)
NC_004663, Bacteroides thetaiotaomicron (NC_004663)
NC_004722, Bacillus cereus (NC_004722)
NC_004757, Nitrosomonas europaea (NC_004757)
NC_005085, Chromobacterium violaceum (NC_005085)
NC_005125, Gloeobacter violaceus (NC_005125)
NC_005296, Rhodopseudomonas palustris (NC_005296)
NC_005363, Bdellovibrio bacteriovorus (NC_005363)
NC_005773, Pseudomonas savastanoi (NC_005773)
NC_005823, Leptospira interrogans (NC_005823)
NC_005861, Candidatus Protochlamydia (NC_005861)
NC_005945, Bacillus anthracis (NC_005945)
NC_005966, Acinetobacter sp. (NC_005966)
NC_006155, Yersinia pseudotuberculosis (NC_006155)
NC_006177, Symbiobacterium thermophilum (NC_006177)
NC_006274, Bacillus cereus (NC_006274)
NC_006322, Bacillus licheniformis (NC_006322)
NC_006350, Burkholderia pseudomallei (NC_006350)
NC_006351, Burkholderia pseudomallei (NC_006351)
NC_006361, Nocardia farcinica (NC_006361)
NC_006368, Legionella pneumophila (NC_006368)
NC_006369, Legionella pneumophila (NC_006369)
NC_006511, Salmonella enterica (NC_006511)
NC_006513, Aromatoleum aromaticum (NC_006513)
NC_006582, Bacillus clausii (NC_006582)
NC_006831, Ehrlichia ruminantium (NC_006831)
NC_006834, Xanthomonas oryzae (NC_006834)
NC_006905, Salmonella enterica (NC_006905)
NC_006932, Brucella abortus (NC_006932)
NC_006933, Brucella abortus (NC_006933)
NC_006958, Corynebacterium glutamicum (NC_006958)
NC_007086, Xanthomonas campestris (NC_007086)
NC_007164, Corynebacterium jeikeium (NC_007164)
NC_007168, Staphylococcus haemolyticus (NC_007168)
NC_007204, Psychrobacter arcticus (NC_007204)
NC_007298, Dechloromonas aromatica (NC_007298)
NC_007333, Thermobifida fusca (NC_007333)
NC_007356, Dehalococcoides mccartyi (NC_007356)
NC_007404, Thiobacillus denitrificans (NC_007404)
NC_007406, Nitrobacter winogradskyi (NC_007406)
NC_007434, Burkholderia pseudomallei (NC_007434)
NC_007435, Burkholderia pseudomallei (NC_007435)
NC_007492, Pseudomonas fluorescens (NC_007492)
NC_007493, Rhodobacter sphaeroides (NC_007493)
NC_007494, Rhodobacter sphaeroides (NC_007494)
NC_007498, Pelobacter carbinolicus (NC_007498)
NC_007508, Xanthomonas campestris (NC_007508)
NC_007509, Burkholderia lata (NC_007509)
NC_007510, Burkholderia lata (NC_007510)
NC_007511, Burkholderia lata (NC_007511)
NC_007512, Chlorobium luteolum (NC_007512)
NC_007514, Chlorobium chlorochromatii (NC_007514)
NC_007517, Geobacter metallireducens (NC_007517)
NC_007519, Desulfovibrio alaskensis (NC_007519)
NC_007530, Bacillus anthracis (NC_007530)
NC_007613, Shigella boydii (NC_007613)
NC_007614, Nitrosospira multiformis (NC_007614)
NC_007618, Brucella abortus (NC_007618)
NC_007624, Brucella abortus (NC_007624)
NC_007644, Moorella thermoacetica (NC_007644)
NC_007650, Burkholderia thailandensis (NC_007650)
NC_007651, Burkholderia thailandensis (NC_007651)
NC_007760, Anaeromyxobacter dehalogenans (NC_007760)
NC_007761, Rhizobium etli (NC_007761)
NC_007775, Synechococcus sp. (NC_007775)
NC_007777, Frankia casuarinae (NC_007777)
NC_007778, Rhodopseudomonas palustris (NC_007778)
NC_007794, Novosphingobium aromaticivorans (NC_007794)
NC_007798, Neorickettsia sennetsu (NC_007798)
NC_007880, Francisella tularensis (NC_007880)
NC_007907, Desulfitobacterium hafniense (NC_007907)
NC_007925, Rhodopseudomonas palustris (NC_007925)
NC_007947, Methylobacillus flagellatus (NC_007947)
NC_007948, Polaromonas sp. (NC_007948)
NC_007958, Rhodopseudomonas palustris (NC_007958)
NC_007963, Chromohalobacter salexigens (NC_007963)
NC_007964, Nitrobacter hamburgensis (NC_007964)
NC_007969, Psychrobacter cryohalolentis (NC_007969)
NC_007973, Cupriavidus metallidurans (NC_007973)
NC_008009, Candidatus Koribacter (NC_008009)
NC_008027, Pseudomonas entomophila (NC_008027)
NC_008095, Myxococcus xanthus (NC_008095)
NC_008146, Mycobacterium sp. (NC_008146)
NC_008148, Rubrobacter xylanophilus (NC_008148)
NC_008149, Yersinia pestis (NC_008149)
NC_008150, Yersinia pestis (NC_008150)
NC_008245, Francisella tularensis (NC_008245)
NC_008254, Chelativorans sp. (NC_008254)
NC_008255, Cytophaga hutchinsonii (NC_008255)
NC_008261, Clostridium perfringens (NC_008261)
NC_008268, Rhodococcus jostii (NC_008268)
NC_008278, Frankia alni (NC_008278)
NC_008313, Ralstonia eutropha (NC_008313)
NC_008314, Ralstonia eutropha (NC_008314)
NC_008343, Granulibacter bethesdensis (NC_008343)
NC_008380, Rhizobium leguminosarum (NC_008380)
NC_008390, Burkholderia ambifaria (NC_008390)
NC_008391, Burkholderia ambifaria (NC_008391)
NC_008392, Burkholderia ambifaria (NC_008392)
NC_008435, Rhodopseudomonas palustris (NC_008435)
NC_008463, Pseudomonas aeruginosa (NC_008463)
NC_008497, Lactobacillus brevis (NC_008497)
NC_008508, Leptospira borgpetersenii (NC_008508)
NC_008510, Leptospira borgpetersenii (NC_008510)
NC_008536, Candidatus Solibacter (NC_008536)
NC_008541, Arthrobacter sp. (NC_008541)
NC_008542, Burkholderia cenocepacia (NC_008542)
NC_008543, Burkholderia cenocepacia (NC_008543)
NC_008544, Burkholderia cenocepacia (NC_008544)
NC_008593, Clostridium novyi (NC_008593)
NC_008595, Mycobacterium avium (NC_008595)
NC_008609, Pelobacter propionicus (NC_008609)
NC_008639, Chlorobium phaeobacteroides (NC_008639)
NC_008699, Nocardioides sp. (NC_008699)
NC_008700, Shewanella amazonensis (NC_008700)
NC_008702, Azoarcus sp. (NC_008702)
NC_008705, Mycobacterium sp. (NC_008705)
NC_008710, Borrelia turicatae (NC_008710)
NC_008711, Paenarthrobacter aurescens (NC_008711)
NC_008740, Marinobacter hydrocarbonoclasticus (NC_008740)
NC_008752, Acidovorax citrulli (NC_008752)
NC_008781, Polaromonas naphthalenivorans (NC_008781)
NC_008782, Acidovorax sp. (NC_008782)
NC_008786, Verminephrobacter eiseniae (NC_008786)
NC_008789, Halorhodospira halophila (NC_008789)
NC_008825, Methylibium petroleiphilum (NC_008825)
NC_009012, Ruminiclostridium thermocellum (NC_009012)
NC_009049, Rhodobacter sphaeroides (NC_009049)
NC_009050, Rhodobacter sphaeroides (NC_009050)
NC_009074, Burkholderia pseudomallei (NC_009074)
NC_009075, Burkholderia pseudomallei (NC_009075)
NC_009076, Burkholderia pseudomallei (NC_009076)
NC_009077, Mycobacterium sp. (NC_009077)
NC_009078, Burkholderia pseudomallei (NC_009078)
