"RefSoil ID"	"Phylum"	"Contains.plasmid"	"Elements"	"Gene"	"chromosome"	"plasmid"	"Total"	"Rel"
"RefSoil_1"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_1"	"Proteobacteria"	FALSE	1	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_10"	"Euryarchaeota"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_100"	"Proteobacteria"	TRUE	4	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_101"	"Proteobacteria"	FALSE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_102"	"Firmicutes"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_103"	"Proteobacteria"	FALSE	2	"acr3"	1	0	1	0.00108459869848156
"RefSoil_103"	"Proteobacteria"	FALSE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_104"	"Euryarchaeota"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_105"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_106"	"Proteobacteria"	TRUE	7	"arsB"	1	0	1	0.00108459869848156
"RefSoil_106"	"Proteobacteria"	TRUE	7	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_107"	"Cyanobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_108"	"Actinobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_109"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_109"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_109"	"Proteobacteria"	FALSE	1	"arsM"	1	0	1	0.00108459869848156
"RefSoil_11"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_11"	"Proteobacteria"	FALSE	1	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_110"	"Proteobacteria"	TRUE	3	"acr3"	0	1	1	0.00108459869848156
"RefSoil_110"	"Proteobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_111"	"Proteobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_112"	"Proteobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_113"	"Firmicutes"	FALSE	1	"acr3"	3	0	3	0.00325379609544469
"RefSoil_113"	"Firmicutes"	FALSE	1	"arrA"	1	0	1	0.00108459869848156
"RefSoil_113"	"Firmicutes"	FALSE	1	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_113"	"Firmicutes"	FALSE	1	"arsD"	2	0	2	0.00216919739696312
"RefSoil_113"	"Firmicutes"	FALSE	1	"arsM"	1	0	1	0.00108459869848156
"RefSoil_114"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_114"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_115"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_115"	"Proteobacteria"	FALSE	1	"arsD"	1	0	1	0.00108459869848156
